disease_name,ICD10
AbdPelvicSymptoms,M43.2
AbdPelvicSymptoms,M43.8X9
AbdPelvicSymptoms,M48.00
AbdPelvicSymptoms,M48.04
AbdPelvicSymptoms,M48.05
AbdPelvicSymptoms,M48.06
AbdPelvicSymptoms,M48.07
AbdPelvicSymptoms,M48.08
AbdPelvicSymptoms,M51.14
AbdPelvicSymptoms,M51.15
AbdPelvicSymptoms,M51.16
AbdPelvicSymptoms,M51.17
AbdPelvicSymptoms,M53.2X7
AbdPelvicSymptoms,M53.2X8
AbdPelvicSymptoms,M53.3
AbdPelvicSymptoms,M53.80
AbdPelvicSymptoms,M53.9
AbdPelvicSymptoms,M54.03
AbdPelvicSymptoms,M54.04
AbdPelvicSymptoms,M54.05
AbdPelvicSymptoms,M54.06
AbdPelvicSymptoms,M54.07
AbdPelvicSymptoms,M54.08
AbdPelvicSymptoms,M54.09
AbdPelvicSymptoms,M54.14
AbdPelvicSymptoms,M54.15
AbdPelvicSymptoms,M54.16
AbdPelvicSymptoms,M54.17
AbdPelvicSymptoms,M54.3
AbdPelvicSymptoms,M54.4
AbdPelvicSymptoms,M54.5
AbdPelvicSymptoms,M54.6
AbdPelvicSymptoms,M54.89
AbdPelvicSymptoms,M54.9
AbdPelvicSymptoms,M62.830
AbdPelvicSymptoms,M99.22
AbdPelvicSymptoms,M99.23
AbdPelvicSymptoms,M99.24
AbdPelvicSymptoms,M99.25
AbdPelvicSymptoms,M99.26
AbdPelvicSymptoms,M99.27
AbdPelvicSymptoms,M99.28
AbdPelvicSymptoms,M99.29
AbdPelvicSymptoms,M99.22
AbdPelvicSymptoms,M99.23
AbdPelvicSymptoms,M99.24
AbdPelvicSymptoms,M99.25
AbdPelvicSymptoms,M99.26
AbdPelvicSymptoms,M99.27
AbdPelvicSymptoms,M99.28
AbdPelvicSymptoms,M99.29
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
